id,value
id_0,7.24908976826053
id_1,17.679768702689703
id_2,24.711031667711502
id_3,6.369098836970052
id_4,28.37337148373313
id_5,21.592016362479523
id_6,22.83084263660065
id_7,31.135374457500454
id_8,18.1181206972825
id_9,57.18105107311822
id_10,14.356795756894032
id_11,9.604122812579146
id_12,60.850885289488325
id_13,51.31564298738868
id_14,20.847162985390046
id_15,11.918588326918641
id_16,31.91703120750646
id_17,67.45559413525699
id_18,-0.63215683717406
id_19,16.727993788780747
id_20,42.21696344117317
id_21,71.65542095380836
id_22,9.882018398554546
id_23,18.425482306666133
id_24,15.148573673067972
id_25,38.25844014988791
id_26,14.104449231390827
id_27,75.1017919955949
id_28,7.79514916660021
id_29,54.88896791759236
id_30,22.279646897828602
id_31,8.70958678911192
id_32,4.4155164135662535
id_33,22.802323251380162
id_34,31.20428126601365
id_35,37.035816903272114
id_36,43.04019034914428
id_37,30.258628800102663
id_38,42.47478835205316
id_39,35.98531580389154
id_40,6.45215654283119
id_41,40.684841960436735
id_42,32.61868857394367
id_43,50.1054478226244
id_44,16.350420121944794
id_45,35.91428175791193
id_46,23.958308967726342
id_47,10.29156526296744
id_48,21.929849914877767
id_49,32.88668975358342
id_50,21.686134951168107
id_51,9.414917582566147
id_52,24.276472360856967
id_53,53.78605046425962
id_54,15.583584002991914
id_55,34.685213052739144
id_56,31.363418801871283
id_57,23.29239351528517
id_58,59.524147247081736
id_59,20.709979898917656
id_60,15.55225018998378
id_61,39.303544411487465
id_62,12.4695449817066
id_63,50.77594792475027
id_64,16.560369908438656
id_65,17.311514746503093
id_66,15.234101143126383
id_67,0.1690365479689313
id_68,44.157367373690214
id_69,31.769698412804306
id_70,19.84385942562005
id_71,37.92159456346094
id_72,58.89630174103774
id_73,5.474211667878971
id_74,16.394036892305806
id_75,6.146693827823369
id_76,38.74316560719935
id_77,16.162876417092527
id_78,24.41258898355537
id_79,22.98396179975371
id_80,25.047904046566988
id_81,39.6455496957175
id_82,23.68578067872686
id_83,87.10789786785799
id_84,35.98681444337648
id_85,27.227340583457543
id_86,24.725700796129004
id_87,29.61960986020023
id_88,24.66929170091306
id_89,21.197033625965254
id_90,29.398694542481277
id_91,39.30464713392588
id_92,4.027058381737663
id_93,39.05230077308611
id_94,45.17198028851205
id_95,16.177621070202314
id_96,34.935327145426164
id_97,10.907522800752265
id_98,24.687642812932165
id_99,5.630159286882669
id_100,16.85228328414558
id_101,29.275742309753866
id_102,11.984426097104212
id_103,16.969641247629184
id_104,24.660641311985337
id_105,37.79699364797051
id_106,28.92448902907965
id_107,7.232145944622908
id_108,10.726639118581168
id_109,76.88854056597009
id_110,45.17763089367521
id_111,15.039607936703275
id_112,29.652541492584152
id_113,15.574984685071872
id_114,14.6651969511887
id_115,25.396300879080083
id_116,24.009180754726867
id_117,10.47482400716482
id_118,17.442113347860232
id_119,19.211694714443162
id_120,81.55289561379077
id_121,24.30341983615078
id_122,32.90337511084924
id_123,24.860615467542726
id_124,8.151539325130273
id_125,41.43393169257608
id_126,11.839644984929086
id_127,19.87651637687165
id_128,30.216311815568353
id_129,61.868889351333536
id_130,22.681184362288544
id_131,23.17906774036719
id_132,59.126268096376165
id_133,14.680520940925735
id_134,14.245941082019858
id_135,2.8242053389145454
id_136,11.848751684821837
id_137,58.157421809987426
id_138,18.754407660749507
id_139,5.402484702351579
id_140,27.966288562834112
id_141,24.99888073160465
id_142,43.72924165998407
id_143,29.532202401791768
id_144,17.27797827388053
id_145,26.325321351841296
id_146,10.928124830539778
id_147,51.45305116903062
id_148,21.81470227727493
id_149,38.000216779138974
id_150,9.824271304206436
id_151,7.807532602757641
id_152,25.079546926154695
id_153,6.495457540524503
id_154,14.56016214149372
id_155,41.21735046090553
id_156,9.557434781120252
id_157,36.33380701867715
id_158,11.303738161554024
id_159,19.83056871528692
id_160,41.07495567104616
id_161,18.485341860860753
id_162,11.936118647731481
id_163,7.9976916206003725
id_164,53.20288080288362
id_165,30.943455638989548
id_166,-0.966471323069058
id_167,15.295012978256228
id_168,62.67974336597951
id_169,13.18418545734061
id_170,64.14478706461277
id_171,41.18376798223704
id_172,26.2927827638427
id_173,21.078677434585536
id_174,64.40374067043285
id_175,23.36216294829454
id_176,21.21477890094526
id_177,36.699461816327435
id_178,11.54126813347564
id_179,29.901165809564436
id_180,16.599732918526055
id_181,11.792428871701414
id_182,53.96131824441942
id_183,43.095718859955475
id_184,17.78303563262834
id_185,34.363076008409614
id_186,26.478174151097097
id_187,68.98986155372316
id_188,9.63623177911075
id_189,56.096489298144064
id_190,37.436214637101614
id_191,15.532077048804451
id_192,29.231634795162798
id_193,-0.8288172837412929
id_194,20.498490478288204
id_195,1.7353499654075129
id_196,34.599954347620454
id_197,10.290961668600474
id_198,20.77290406589776
id_199,61.47360925834753
id_200,24.20707923285293
id_201,23.07936403942906
id_202,63.59680631211634
id_203,11.374392898513632
id_204,9.43548583116662
id_205,12.589331526013646
id_206,9.478564492779475
id_207,2.1262180821023233
id_208,121.8457007935618
id_209,18.78109208417824
id_210,14.257054611156144
id_211,14.675692487274143
id_212,35.954173333753154
id_213,35.460858949838766
id_214,21.12713497363117
id_215,33.13618486156679
id_216,76.91005991202854
id_217,1.74077779672998
id_218,13.43910499771535
id_219,33.73067151356286
id_220,17.006233223859144
id_221,12.281151969464073
id_222,114.68568887961771
id_223,13.664252824731212
id_224,20.244081976246513
id_225,61.05747692666826
id_226,15.60422139076462
id_227,19.404158728343088
id_228,9.736899194445112
id_229,6.007425405549224
id_230,43.37259094505515
id_231,14.897616425099997
id_232,50.71270177637194
id_233,43.083696798028726
id_234,23.843116566759196
id_235,41.751048851237584
id_236,68.59738762472476
id_237,38.24498286527628
id_238,15.570509068093614
id_239,15.374981606400102
